"Batch","Script","Fixed","Seconds"
"10",".\artifacts\fix-linq-missed-select-derived.ps1","6","19"
"11",".\artifacts\fix-null-deref-forgiving-span.ps1","18","2"
"12",".\artifacts\fix-cookie-hardening-safe.ps1","0","2"
"13",".\artifacts\fix-bool-regex.ps1","0","24"
"14",".\artifacts\fix-constant-condition-safe.ps1","0","2"
"15",".\artifacts\fix-missed-ternary.ps1","0","2"
"16",".\artifacts\fix-linq-missed-select-derived.ps1","0","19"
"17",".\artifacts\fix-null-deref-forgiving-span.ps1","18","2"
"18",".\artifacts\fix-cookie-hardening-safe.ps1","0","2"
"19",".\artifacts\fix-bool-regex.ps1","0","23"
"20",".\artifacts\fix-constant-condition-safe.ps1","0","2"
"21",".\artifacts\fix-missed-ternary.ps1","0","2"
"22",".\artifacts\fix-linq-missed-select-derived.ps1","0","19"
"23",".\artifacts\fix-null-deref-forgiving-span.ps1","18","2"
"24",".\artifacts\fix-cookie-hardening-safe.ps1","0","2"
"25",".\artifacts\fix-bool-regex.ps1","0","23"
"26",".\artifacts\fix-constant-condition-safe.ps1","0","2"
"27",".\artifacts\fix-missed-ternary.ps1","0","2"
"28",".\artifacts\fix-linq-missed-select-derived.ps1","0","19"
"29",".\artifacts\fix-null-deref-forgiving-span.ps1","18","2"
"30",".\artifacts\fix-cookie-hardening-safe.ps1","0","2"
"31",".\artifacts\fix-bool-regex.ps1","0","23"
"32",".\artifacts\fix-constant-condition-safe.ps1","0","2"
"33",".\artifacts\fix-missed-ternary.ps1","0","2"
"34",".\artifacts\fix-linq-missed-select-derived.ps1","0","19"
"35",".\artifacts\fix-null-deref-forgiving-span.ps1","18","2"
"36",".\artifacts\fix-cookie-hardening-safe.ps1","0","2"
"37",".\artifacts\fix-bool-regex.ps1","0","23"
"38",".\artifacts\fix-constant-condition-safe.ps1","0","2"
"39",".\artifacts\fix-missed-ternary.ps1","0","2"
"40",".\artifacts\fix-linq-missed-select-derived.ps1","0","19"
"41",".\artifacts\fix-null-deref-forgiving-span.ps1","18","2"
"42",".\artifacts\fix-cookie-hardening-safe.ps1","0","2"
"43",".\artifacts\fix-bool-regex.ps1","0","24"
"44",".\artifacts\fix-constant-condition-safe.ps1","0","2"
"45",".\artifacts\fix-missed-ternary.ps1","0","2"
"46",".\artifacts\fix-linq-missed-select-derived.ps1","0","19"
"47",".\artifacts\fix-null-deref-forgiving-span.ps1","18","2"
"48",".\artifacts\fix-cookie-hardening-safe.ps1","0","2"
"49",".\artifacts\fix-bool-regex.ps1","0","23"
"50",".\artifacts\fix-constant-condition-safe.ps1","0","2"
