"Project"	"Count"
"FuseCP.WebDavPortal"	"153"
"FuseCP.WebPortal"	"124"
"FuseCP.EnterpriseServer.Code"	"77"
"FuseCP.Server"	"60"
"Source"	"56"
"FuseCP.EnterpriseServer"	"38"
"FuseCP.Providers.Base"	"33"
"FuseCP.Server.Utils"	"27"
"FuseCP.Providers.FTP.VsFtp"	"22"
"FuseCP.EnterpriseServer.Data"	"17"
"FuseCP.EnterpriseServer.Base"	"13"
"FuseCP.WebDav.Core"	"7"
"FuseCP.Providers.OS.Unix"	"5"
"FuseCP.Web.Services"	"4"
"FuseCP.Providers.Virtualization.Proxmox"	"4"
"FuseCP.Providers.Virtualization.HyperV-2012R2"	"4"
"FuseCP.Providers.Web.Apache"	"3"
"FuseCP.Web.Clients"	"3"
"FuseCP.Build"	"3"
"FuseCP.Providers.Virtualization.HyperV-vmm"	"2"
"FuseCP.Providers.HostedSolution"	"2"
"FuseCP.Providers.OS.Windows2016"	"2"
"FuseCP.Providers.Web.IIS70"	"2"
"FuseCP.Providers.Virtualization.HyperV"	"2"
"FuseCP.Providers.StorageSpaces.Windows2016"	"2"
"FuseCP.Providers.Web.IIs100"	"1"
"FuseCP.Providers.Web.IIs80"	"1"
"FuseCP.Providers.Statistics.AWStats"	"1"
"FuseCP.WebSite"	"1"
"FuseCP.Templates"	"1"
"FuseCP.Providers.Mail.AbilityMailServer"	"1"
"FuseCP.Providers.FTP.IIs100"	"1"
"FuseCP.Providers.EnterpriseStorage.Windows2016"	"1"
"FuseCP.Providers.DNS.MsDNS"	"1"
"FuseCP.Providers.Web.IIs60"	"1"
"FuseCP.Providers.Mail.IceWarp"	"1"
