Project	OpenAlerts
FuseCP.WebPortal	338
FuseCP.EnterpriseServer.Code	178
FuseCP.WebDavPortal	133
FuseCP.Server	63
FuseCP.Providers.Base	55
FuseCP.EnterpriseServer	45
tools	43
FuseCP.EnterpriseServer.Data	39
FuseCP.Server.Utils	35
FuseCP.Providers.Web.IIS70	28
FuseCP.Providers.Virtualization.HyperV-2012R2	23
FuseCP.Providers.FTP.VsFtp	22
FuseCP.EnterpriseServer.Base	17
FuseCP.WebDav.Core	14
FuseCP.Web.Services	11
FuseCP.Providers.OS.Unix	9
FuseCP.Providers.DNS.SimpleDNS90	8
FuseCP.Providers.Virtualization.Proxmox	8
FuseCP.Providers.HostedSolution	8
FuseCP.Providers.DNS.SimpleDNS80	7
FuseCP.Web.Clients	7
FuseCP.Providers.Statistics.SmarterStats	6
FuseCP.Providers.OS.Windows2016	6
FuseCP.Build	5
FuseCP.Providers.Web.Apache	4
FuseCP.Providers.Web.IIs60	4
FuseCP.Providers.Virtualization.HyperV-vmm	4
FuseCP.Providers.FTP.IIs100	4
FuseCP.Providers.TerminalServices.Windows2012	4
FuseCP.EnterpriseServer.Tests	4
FuseCP.Providers.Virtualization.HyperV	3
FuseCP.Providers.HostedSolution.SharePoint2019	3
FuseCP.Providers.HostedSolution.SharePoint2016Ent	3
FuseCP.Providers.Mail.SmarterMail2	3
FuseCP.Providers.StorageSpaces.Windows2016	3
FuseCP.Providers.HostedSolution.SharePoint2016	3
FuseCP.Providers.Web.IIs100	3
FuseCP.Providers.HostedSolution.SharePoint2013	3
FuseCP.Providers.HostedSolution.Exchange2019	3
FuseCP.Providers.HostedSolution.Exchange2016	3
FuseCP.Providers.HostedSolution.Exchange2013	3
FuseCP.Providers.Database.MariaDB	3
FuseCP.Providers.FTP.Gene6	3
FuseCP.Providers.Web.IIs80	3
FuseCP.Providers.Database.MySQL	3
FuseCP.Providers.Database.SqlServer	3
FuseCP.Providers.HostedSolution.SharePoint2013Ent	3
FuseCP.Tests	3
FuseCP.Templates	2
FuseCP.Providers.Mail.IceWarp	2
FuseCP.Providers.Mail.SmarterMail7	2
FuseCP.Providers.DNS.Bind	2
FuseCP.Providers.DNS.MsDNS2012	2
FuseCP.Providers.DNS.SimpleDNS50	2
FuseCP.Providers.DNS.SimpleDNS60	2
FuseCP.Providers.EnterpriseStorage.Windows2016	2
FuseCP.Providers.HostedSolution.Lync2013	2
FuseCP.Providers.HostedSolution.Lync2013HP	2
FuseCP.Providers.HostedSolution.SfB2015	2
FuseCP.Providers.Mail.SmarterMail9	2
FuseCP.Providers.Mail.AbilityMailServer	2
FuseCP.Providers.HostedSolution.SfB2019	2
FuseCP.Providers.Mail.SmarterMail6	2
FuseCP.Providers.Mail.SmarterMail10	2
FuseCP.Providers.Mail.SmarterMail5	2
FuseCP.Providers.Virtualization.HyperV-2019	1
FuseCP.Providers.DNS.MsDNS	1
FuseCP.Providers.OS.Windows2019	1
FuseCP.Providers.DNS.MsDNS2016	1
FuseCP.Providers.DNS.SimpleDNS	1
FuseCP.Providers.OS.Windows2022	1
FuseCP.Providers.OS.Windows2025	1
FuseCP.Providers.Statistics.AWStats	1
FuseCP.SchedulerService	1
FuseCP.Providers.Virtualization.HyperV-2016	1
FuseCP.Providers.FTP.FileZilla	1
FuseCP.Providers.FTP.ServU	1
FuseCP.Providers.Mail.SmarterMail3	1
FuseCP.Providers.Mail.SmarterMail100	1
FuseCP.WebSite	1
FuseCP.Providers.Virtualization.HyperV-2025	1
FuseCP.Providers.Virtualization.HyperV-2022	1
FuseCP.Providers.Filters.SpamExperts	1
FuseCP	1
