"RuleId"	"Count"
"js/unused-local-variable"	"92"
"cs/class-name-matches-base-class"	"70"
"cs/web/missing-function-level-access-control"	"47"
"js/xss-through-dom"	"28"
"cs/local-shadows-member"	"28"
"cs/useless-assignment-to-local"	"26"
"js/unneeded-defensive-code"	"24"
"cs/virtual-call-in-constructor"	"19"
"cs/call-to-unmanaged-code"	"18"
"cs/complex-condition"	"18"
"js/html-constructed-from-input"	"18"
"cs/sensitive-data-transmission"	"16"
"js/automatic-semicolon-insertion"	"15"
"cs/unmanaged-code"	"15"
"cs/dispose-not-called-on-throw"	"14"
"js/useless-assignment-to-local"	"14"
"cs/missed-readonly-modifier"	"10"
"js/incomplete-sanitization"	"10"
"js/incomplete-multi-character-sanitization"	"9"
"cs/missed-ternary-operator"	"8"
"cs/call-to-obsolete-method"	"8"
"cs/local-not-disposed"	"8"
"js/superfluous-trailing-arguments"	"8"
"cs/stringbuilder-creation-in-loop"	"7"
"cs/static-field-written-by-instance"	"6"
"cs/linq/inconsistent-enumeration"	"5"
"cs/linq/missed-select"	"5"
"js/trivial-conditional"	"5"
"cs/web/unvalidated-url-redirection"	"5"
"cs/complex-block"	"5"
"cs/path-combine"	"5"
"cs/cleartext-storage-of-sensitive-information"	"4"
"js/regex/missing-regexp-anchor"	"4"
"cs/empty-block"	"4"
"js/unreachable-statement"	"4"
"cs/loss-of-precision"	"4"
"js/unsafe-jquery-plugin"	"4"
"js/useless-expression"	"4"
"js/redos"	"4"
"cs/constant-condition"	"4"
"js/useless-assignment-to-property"	"3"
"js/regex/duplicate-in-character-class"	"3"
"js/eval-like-call"	"3"
"cs/call-to-object-tostring"	"3"
"cs/misleading-indentation"	"3"
"cs/nested-if-statements"	"3"
"cs/unused-property-value"	"2"
"cs/cast-from-abstract-to-concrete-collection"	"2"
"cs/catch-nullreferenceexception"	"2"
"js/unsafe-html-expansion"	"2"
"cs/dereferenced-value-is-always-null"	"2"
"cs/dereferenced-value-may-be-null"	"2"
"cs/expose-implementation"	"2"
"js/redundant-assignment"	"2"
"js/loop-iteration-skipped-due-to-shifting"	"2"
"cs/linq/missed-where"	"2"
"js/comparison-between-incompatible-types"	"2"
"cs/unsynchronized-static-access"	"2"
"cs/useless-type-test"	"2"
"cs/web/missing-x-frame-options"	"2"
"cs/session-reuse"	"2"
"cs/zipslip"	"1"
"cs/too-many-ref-parameters"	"1"
"js/useless-assignment-in-return"	"1"
"js/use-before-declaration"	"1"
"cs/command-line-injection"	"1"
"cs/coupled-types"	"1"
"cs/simplifiable-boolean-expression"	"1"
"cs/web/cookie-httponly-not-set"	"1"
"cs/web/debug-binary"	"1"
"cs/downcast-of-this"	"1"
"cs/equality-on-floats"	"1"
"js/regex/unmatchable-dollar"	"1"
"cs/web/directory-browse-enabled"	"1"
"cs/exposure-of-sensitive-information"	"1"
"cs/web/file-upload"	"1"
"cs/inconsistent-compareto-and-equals"	"1"
"js/property-access-on-non-object"	"1"
"cs/web/insecure-direct-object-reference"	"1"
"js/insecure-randomness"	"1"
"cs/type-test-of-this"	"1"
"cs/web/missing-token-validation"	"1"
"cs/reference-equality-with-object"	"1"
"js/bad-tag-filter"	"1"
"cs/path-injection"	"1"
"cs/xml/xpath-injection"	"1"
"cs/insecure-sql-connection"	"1"
