"Rule","Path","Line"
"cs/linq/missed-select","FuseCP/Sources/FuseCP.EnterpriseServer.Code/Common/FileUtils.cs","97"
"cs/linq/missed-select","FuseCP/Sources/FuseCP.EnterpriseServer.Code/Data/DataProvider.cs","4040"
"cs/linq/missed-select","FuseCP/Sources/FuseCP.EnterpriseServer.Code/DnsServers/DnsServerController.cs","82"
"cs/linq/missed-select","FuseCP/Sources/FuseCP.EnterpriseServer.Code/EnterpriseStorage/EnterpriseStorageController.cs","2376"
"cs/linq/missed-select","FuseCP/Sources/FuseCP.EnterpriseServer.Code/ExchangeServer/ExchangeServerController.cs","5632"
"cs/linq/missed-select","FuseCP/Sources/FuseCP.EnterpriseServer.Code/Files/FilesController.cs","633"
"cs/linq/missed-select","FuseCP/Sources/FuseCP.EnterpriseServer.Code/Files/FilesController.cs","686"
"cs/linq/missed-select","FuseCP/Sources/FuseCP.EnterpriseServer.Code/HostedSolution/CRMController.cs","219"
"cs/linq/missed-select","FuseCP/Sources/FuseCP.EnterpriseServer.Code/HostedSolution/LyncController.cs","1025"
"cs/linq/missed-select","FuseCP/Sources/FuseCP.EnterpriseServer.Code/HostedSolution/OCSController.cs","79"
"cs/linq/missed-select","FuseCP/Sources/FuseCP.EnterpriseServer.Code/HostedSolution/SfBController.cs","1028"
"cs/linq/missed-select","FuseCP/Sources/FuseCP.EnterpriseServer.Code/SchedulerTasks/CheckWebsitesSslTask.cs","128"
"cs/linq/missed-select","FuseCP/Sources/FuseCP.EnterpriseServer.Code/SchedulerTasks/DomainLookupViewTask.cs","107"
"cs/linq/missed-select","FuseCP/Sources/FuseCP.EnterpriseServer.Code/Security/PasswordHardeningStatusService.cs","163"
"cs/linq/missed-select","FuseCP/Sources/FuseCP.EnterpriseServer.Code/Servers/ServerController.cs","3561"
"cs/linq/missed-select","FuseCP/Sources/FuseCP.EnterpriseServer.Code/Tasks/TaskManager.cs","784"
"cs/linq/missed-select","FuseCP/Sources/FuseCP.EnterpriseServer.Code/WebServers/WebServerController.cs","844"
"cs/linq/missed-select","FuseCP/Sources/FuseCP.EnterpriseServer.Code/WebServers/WebServerController.cs","851"
"cs/linq/missed-select","FuseCP/Sources/FuseCP.EnterpriseServer.Code/WebServers/WebServerController.cs","1032"
"cs/linq/missed-select","FuseCP/Sources/FuseCP.EnterpriseServer.Code/WebServers/WebServerController.cs","1040"
"cs/linq/missed-select","FuseCP/Sources/FuseCP.EnterpriseServer.Code/WebServers/WebServerController.cs","4493"
"cs/linq/missed-select","FuseCP/Sources/FuseCP.EnterpriseServer.Data/Extensions/DatabaseUtils.cs","99"
"cs/linq/missed-select","FuseCP/Sources/FuseCP.Providers.Base/OS/Shell.cs","160"
"cs/linq/missed-select","FuseCP/Sources/FuseCP.Providers.Base/OS/TunnelSockets/QueryStringDictionary.cs","59"
"cs/linq/missed-select","FuseCP/Sources/FuseCP.Providers.Base/Web/HtaccessFolder.cs","267"
"cs/linq/missed-select","FuseCP/Sources/FuseCP.Providers.HostedSolution.Exchange2013/Exchange2013.cs","7793"
"cs/linq/missed-select","FuseCP/Sources/FuseCP.Providers.HostedSolution.Exchange2016/Exchange2016.cs","7827"
"cs/linq/missed-select","FuseCP/Sources/FuseCP.Providers.HostedSolution.Exchange2019/Exchange2019.cs","7827"
"cs/linq/missed-select","FuseCP/Sources/FuseCP.Providers.HostedSolution/OrganizationProvider.cs","1681"
"cs/linq/missed-select","FuseCP/Sources/FuseCP.Providers.Mail.SmarterMail10/SmarterMail10.cs","737"
"cs/linq/missed-select","FuseCP/Sources/FuseCP.Providers.Mail.SmarterMail10/SmarterMail10.cs","851"
"cs/linq/missed-select","FuseCP/Sources/FuseCP.Providers.Mail.SmarterMail10/SmarterMail10.cs","1048"
"cs/linq/missed-select","FuseCP/Sources/FuseCP.Providers.Mail.SmarterMail10/SmarterMail10.cs","1674"
"cs/linq/missed-select","FuseCP/Sources/FuseCP.Providers.Mail.SmarterMail100/SmarterMail100.cs","2153"
"cs/linq/missed-select","FuseCP/Sources/FuseCP.Providers.Mail.SmarterMail2/SmarterMail2.cs","201"
"cs/linq/missed-select","FuseCP/Sources/FuseCP.Providers.Mail.SmarterMail2/SmarterMail2.cs","834"
"cs/linq/missed-select","FuseCP/Sources/FuseCP.Providers.Mail.SmarterMail3/SmarterMail3.cs","526"
"cs/linq/missed-select","FuseCP/Sources/FuseCP.Providers.Mail.SmarterMail5/SmarterMail5.cs","636"
"cs/linq/missed-select","FuseCP/Sources/FuseCP.Providers.Mail.SmarterMail5/SmarterMail5.cs","1622"
"cs/linq/missed-select","FuseCP/Sources/FuseCP.Providers.Mail.SmarterMail5/SmarterMail5.cs","1703"
"cs/linq/missed-select","FuseCP/Sources/FuseCP.Providers.Mail.SmarterMail5/SmarterMail5.cs","1817"
"cs/linq/missed-select","FuseCP/Sources/FuseCP.Providers.Mail.SmarterMail6/SmarterMail6.cs","733"
"cs/linq/missed-select","FuseCP/Sources/FuseCP.Providers.Mail.SmarterMail6/SmarterMail6.cs","847"
"cs/linq/missed-select","FuseCP/Sources/FuseCP.Providers.Mail.SmarterMail6/SmarterMail6.cs","1044"
"cs/linq/missed-select","FuseCP/Sources/FuseCP.Providers.Mail.SmarterMail6/SmarterMail6.cs","1664"
"cs/linq/missed-select","FuseCP/Sources/FuseCP.Providers.Mail.SmarterMail7/SmarterMail7.cs","733"
"cs/linq/missed-select","FuseCP/Sources/FuseCP.Providers.Mail.SmarterMail7/SmarterMail7.cs","847"
"cs/linq/missed-select","FuseCP/Sources/FuseCP.Providers.Mail.SmarterMail7/SmarterMail7.cs","1044"
"cs/linq/missed-select","FuseCP/Sources/FuseCP.Providers.Mail.SmarterMail7/SmarterMail7.cs","1637"
"cs/linq/missed-select","FuseCP/Sources/FuseCP.Providers.Mail.SmarterMail9/SmarterMail9.cs","737"
"cs/linq/missed-select","FuseCP/Sources/FuseCP.Providers.Mail.SmarterMail9/SmarterMail9.cs","851"
"cs/linq/missed-select","FuseCP/Sources/FuseCP.Providers.Mail.SmarterMail9/SmarterMail9.cs","1048"
"cs/linq/missed-select","FuseCP/Sources/FuseCP.Providers.Mail.SmarterMail9/SmarterMail9.cs","1655"
"cs/linq/missed-select","FuseCP/Sources/FuseCP.Providers.Statistics.AWStats/AWStats.cs","94"
"cs/linq/missed-select","FuseCP/Sources/FuseCP.Providers.Statistics.SmarterStats/SmarterStats5.cs","39"
"cs/linq/missed-select","FuseCP/Sources/FuseCP.Providers.Statistics.SmarterStats/SmarterStats5.cs","67"
"cs/linq/missed-select","FuseCP/Sources/FuseCP.Providers.TerminalServices.Windows2012/Windows2012.cs","1915"
"cs/linq/missed-select","FuseCP/Sources/FuseCP.Providers.TerminalServices.Windows2012/Windows2012.cs","1932"
"cs/linq/missed-select","FuseCP/Sources/FuseCP.Providers.TerminalServices.Windows2012/Windows2012.cs","3082"
"cs/linq/missed-select","FuseCP/Sources/FuseCP.Providers.Virtualization.HyperV-2012R2/HyperV2012R2.cs","380"
"cs/linq/missed-select","FuseCP/Sources/FuseCP.Providers.Web.IIs100/SSL/SSLModuleService100.cs","327"
"cs/linq/missed-select","FuseCP/Sources/FuseCP.Providers.Web.IIS70/WebObjects/WebObjectsModuleService.cs","200"
"cs/linq/missed-select","FuseCP/Sources/FuseCP.Providers.Web.IIs80/SSL/SSLModuleService80.cs","334"
"cs/linq/missed-select","FuseCP/Sources/FuseCP.Server.Utils/FileUtils.cs","355"
"cs/linq/missed-select","FuseCP/Sources/FuseCP.Web.Services/Configuration.cs","101"
"cs/linq/missed-select","FuseCP/Sources/FuseCP.WebDav.Core/Managers/WebDavManager.cs","423"
"cs/linq/missed-select","FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/DomainsImportZone.ascx.cs","56"
"cs/linq/missed-select","FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/Login.ascx.cs","432"
"cs/linq/missed-select","FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/Lync/LyncEditUser.ascx.cs","49"
"cs/linq/missed-select","FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/SfB/SfBEditUser.ascx.cs","49"
"cs/linq/missed-select","FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/UserControls/MailAccountActions.ascx.cs","82"
"cs/linq/missed-where","FuseCP/Sources/FuseCP.EnterpriseServer.Code/Packages/PackageController.cs","994"
