cs/simplifiable-boolean-expression	cs/simplifiable-boolean-expression	FuseCP/Sources/FuseCP.WebPortal/Code/Adapters/TreeViewAdapter.cs	642
cs/linq/missed-where	cs/linq/missed-where	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/ExchangeServer/OrganizationUserMemberOf.ascx.cs	152
cs/linq/missed-where	cs/linq/missed-where	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/ExchangeServer/OrganizationSecurityGroupMemberOf.ascx.cs	142
cs/linq/missed-where	cs/linq/missed-where	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/ExchangeServer/ExchangeMailboxMemberOf.ascx.cs	130
cs/linq/missed-where	cs/linq/missed-where	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/ExchangeServer/ExchangeDistributionListMemberOf.ascx.cs	134
cs/linq/missed-where	cs/linq/missed-where	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/DomainsImportZone.ascx.cs	56
cs/nested-if-statements	cs/nested-if-statements	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/Code/Framework/FuseCPControlBase.cs	236
cs/complex-condition	cs/complex-condition	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/ExchangeServer/UserControls/UserSelector.ascx.cs	211
cs/complex-condition	cs/complex-condition	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/ExchangeServer/UserControls/UserSelector.ascx.cs	202
cs/complex-condition	cs/complex-condition	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/DomainsSelectDomainControl.ascx.cs	158
cs/nested-if-statements	cs/nested-if-statements	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/DomainsAddDomain.ascx.cs	62
cs/dereferenced-value-may-be-null	cs/dereferenced-value-may-be-null	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/SqlEditUser.ascx.cs	139
cs/web/ambiguous-client-variable	cs/web/ambiguous-client-variable	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/StatisticsEditStatistics.ascx.cs	81
js/unused-local-variable	js/unused-local-variable	FuseCP/Sources/FuseCP.WebPortal/App_Themes/Default/addons/fuelux/js/fuelux.js	7857
cs/dereferenced-value-is-always-null	cs/dereferenced-value-is-always-null	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/UserControls/OrganizationMenuControl.cs	223
cs/lock-this	cs/lock-this	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/Code/Framework/FuseCPModuleBase.cs	247
cs/web/persistent-cookie	cs/web/persistent-cookie	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/LoggedUserEditDetails.ascx.cs	803
cs/web/persistent-cookie	cs/web/persistent-cookie	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/LoggedUserEditDetails.ascx.cs	767
cs/web/persistent-cookie	cs/web/persistent-cookie	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/Login.ascx.cs	527
cs/web/persistent-cookie	cs/web/persistent-cookie	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/LoggedUserEditDetails.ascx.cs	672
cs/web/persistent-cookie	cs/web/persistent-cookie	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/Login.ascx.cs	399
cs/web/persistent-cookie	cs/web/persistent-cookie	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/Login.ascx.cs	390
cs/web/persistent-cookie	cs/web/persistent-cookie	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/Login.ascx.cs	381
cs/web/persistent-cookie	cs/web/persistent-cookie	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/Login.ascx.cs	372
cs/web/persistent-cookie	cs/web/persistent-cookie	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/Login.ascx.cs	362
cs/web/persistent-cookie	cs/web/persistent-cookie	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/LoggedUserEditDetails.ascx.cs	366
cs/web/persistent-cookie	cs/web/persistent-cookie	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/Code/Framework/WebPortalThemeProvider.cs	45
cs/web/persistent-cookie	cs/web/persistent-cookie	FuseCP/Sources/FuseCP.WebPortal/Default.aspx.cs	610
cs/web/persistent-cookie	cs/web/persistent-cookie	FuseCP/Sources/FuseCP.WebPortal/Code/PortalUtils.cs	820
cs/web/persistent-cookie	cs/web/persistent-cookie	FuseCP/Sources/FuseCP.WebPortal/Code/PortalUtils.cs	118
cs/dereferenced-value-may-be-null	cs/dereferenced-value-may-be-null	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/SettingsSfBUserPlansPolicy.ascx.cs	119
cs/string-concatenation-in-loop	cs/string-concatenation-in-loop	FuseCP/Sources/FuseCP.WebPortal/Code/Adapters/TreeViewAdapter.cs	654
cs/complex-condition	cs/complex-condition	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/Code/Framework/Utils.cs	368
cs/complex-condition	cs/complex-condition	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/Code/Framework/Utils.cs	358
cs/web/ambiguous-client-variable	cs/web/ambiguous-client-variable	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/IPAddressesEditIPAddress.ascx.cs	98
cs/web/ambiguous-client-variable	cs/web/ambiguous-client-variable	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/IPAddressesAddIPAddress.ascx.cs	155
cs/web/unvalidated-url-redirection	cs/web/unvalidated-url-redirection	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/Login.ascx.cs	414
cs/local-not-disposed	cs/local-not-disposed	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/SpaceQuotasControl.ascx.cs	69
cs/information-exposure-through-exception	cs/information-exposure-through-exception	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/SpaceQuotasControl.ascx.cs	59
cs/dereferenced-value-may-be-null	cs/dereferenced-value-may-be-null	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/SqlEditDatabase.ascx.cs	61
cs/missed-ternary-operator	cs/missed-ternary-operator	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/ExchangeServer/ExchangeMailboxMailFlowSettings.ascx.cs	122
cs/constant-condition	cs/constant-condition	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/WebSitesEditSite.ascx.cs	577
cs/constant-condition	cs/constant-condition	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/MailAccountsEditAccount.ascx.cs	150
cs/empty-catch-block	cs/empty-catch-block	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/Peers.ascx.cs	99
cs/sensitive-data-transmission	cs/sensitive-data-transmission	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/UserControls/SimpleMessageBox.ascx.cs	222
cs/sensitive-data-transmission	cs/sensitive-data-transmission	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/UserControls/MessageBox.ascx.cs	64
cs/uncontrolled-format-string	cs/uncontrolled-format-string	FuseCP/Sources/FuseCP.WebPortal/Code/AjaxHandler.cs	77
cs/string-concatenation-in-loop	cs/string-concatenation-in-loop	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/UserControls/UsernameControl.ascx.cs	220
cs/string-concatenation-in-loop	cs/string-concatenation-in-loop	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/UserControls/SearchBox.ascx.cs	89
cs/string-concatenation-in-loop	cs/string-concatenation-in-loop	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/UserControls/SearchBox.ascx.cs	88
